labels,train_recall,test_recall,mean_difficulty
backward,0.9981426448736999,0.9707070707070707,0.5018890371274173
bed,0.9956085319949812,0.9500805152979065,0.5686785654592075
bird,0.9968571989785898,0.9576576576576578,0.5425747471083446
cat,0.9971836652584992,0.9467353951890035,0.5174284843748819
dog,0.9969803233976232,0.943939393939394,0.6068359736200811
down,0.9956924058710913,0.9544334975369457,0.5851485911565004
eight,0.9973073964171887,0.9730392156862745,0.2759423962276365
five,0.9955246913580247,0.9771535580524344,0.5790466432738735
follow,0.9963398692810458,0.9273255813953488,0.629924117309638
forward,0.9965498938428875,0.8860215053763442,0.6317449561920795
four,0.9951494641849972,0.9562499999999999,0.6336280744966727
go,0.9946877012234386,0.9585406301824212,0.6296802557712178
happy,0.9977532679738562,0.9564860426929394,0.40356188620046207
house,0.9984558965450684,0.9642233856893542,0.46172576219781236
learn,0.995334370139969,0.9161490683229815,0.6781687746499274
left,0.9961036110196466,0.974514563106796,0.4872731335646573
marvin,0.9980506822612085,0.9683760683760684,0.5638002583681175
nine,0.9961093585699263,0.9754901960784313,0.47136694320718037
no,0.9949414270500533,0.9724279835390948,0.662102993476391
off,0.9950056116722784,0.961028192371476,0.6424525342690874
on,0.9954633830200907,0.9633838383838383,0.3995701063207682
one,0.9951167728237792,0.9557226399331662,0.6374928323116015
right,0.9972949100143534,0.9713804713804715,0.3791223354529381
seven,0.9973998959958399,0.9831691297208539,0.412981825701448
sheila,0.9973017849730179,0.9654088050314465,0.5562080410079091
six,0.9980030224525042,0.9890016920473773,0.23213229684608497
stop,0.9974820529304619,0.9914841849148418,0.47459883662509506
three,0.99527983816588,0.9707818930041153,0.6772554713300483
tree,0.9951433309642265,0.8808290155440414,0.6454045177199402
two,0.9958748526733098,0.9775943396226415,0.45503615088598026
up,0.995307553143374,0.9611764705882352,0.2634017172378558
visual,0.9975414078674949,0.9808080808080808,0.55879367691292
wow,0.997293116782676,0.9466019417475727,0.6565183181227658
yes,0.9978314745972737,0.9900556881463802,0.17757049790664162
zero,0.9967692307692307,0.9776714513556618,0.45579403887406994
