index,filename,scene_label,city,location,segment,device,encoded,decoded,sum,count,mean,ranks
0,audio/airport-lisbon-1000-40000-a.wav,airport,lisbon,1000,40000,a,0,airport,306.0,357.0,0.8571428571428571,0.5046959567016873
2,audio/airport-prague-1023-40027-a.wav,airport,prague,1023,40027,a,0,airport,295.0,357.0,0.8263305322128851,0.6425501432664756
3,audio/airport-prague-1023-40038-a.wav,airport,prague,1023,40038,a,0,airport,252.0,357.0,0.7058823529411765,0.9512893982808023
4,audio/airport-prague-1034-40041-a.wav,airport,prague,1034,40041,a,0,airport,263.0,357.0,0.7366946778711485,0.907274753263292
6,audio/airport-lyon-1041-40053-a.wav,airport,lyon,1041,40053,a,0,airport,265.0,357.0,0.742296918767507,0.8980420248328558
7,audio/airport-lisbon-1000-40073-a.wav,airport,lisbon,1000,40073,a,0,airport,315.0,357.0,0.8823529411764706,0.3851480420248329
8,audio/airport-prague-1069-40101-a.wav,airport,prague,1069,40101,a,0,airport,297.0,357.0,0.8319327731092437,0.6176376950015918
9,audio/airport-prague-1034-40148-a.wav,airport,prague,1034,40148,a,0,airport,282.0,357.0,0.7899159663865546,0.778414517669532
10,audio/airport-prague-1069-40151-a.wav,airport,prague,1069,40151,a,0,airport,309.0,357.0,0.865546218487395,0.46935689270932823
11,audio/airport-lyon-1041-40156-a.wav,airport,lyon,1041,40156,a,0,airport,243.0,357.0,0.680672268907563,0.9722222222222222
13,audio/airport-lyon-1101-40173-a.wav,airport,lyon,1101,40173,a,0,airport,326.0,357.0,0.9131652661064426,0.23129576567971982
14,audio/airport-lyon-1041-40175-a.wav,airport,lyon,1041,40175,a,0,airport,336.0,357.0,0.9411764705882353,0.12265202164915633
17,audio/airport-lisbon-1000-40242-a.wav,airport,lisbon,1000,40242,a,0,airport,315.0,357.0,0.8823529411764706,0.38522763451130215
20,audio/airport-prague-1069-40257-a.wav,airport,prague,1069,40257,a,0,airport,285.0,357.0,0.7983193277310925,0.7510347023241006
21,audio/airport-prague-1034-40262-a.wav,airport,prague,1034,40262,a,0,airport,298.0,357.0,0.834733893557423,0.6049824896529767
23,audio/airport-prague-1034-40269-a.wav,airport,prague,1034,40269,a,0,airport,266.0,357.0,0.7450980392156863,0.8936644380770455
24,audio/airport-lisbon-1000-40280-a.wav,airport,lisbon,1000,40280,a,0,airport,270.0,357.0,0.7563025210084033,0.8682744348933461
26,audio/airport-lisbon-1000-40329-a.wav,airport,lisbon,1000,40329,a,0,airport,290.0,357.0,0.8123249299719888,0.70264247055078
28,audio/airport-lisbon-1000-40342-a.wav,airport,lisbon,1000,40342,a,0,airport,291.0,357.0,0.8151260504201681,0.6915791149315504
30,audio/airport-lyon-1041-40360-a.wav,airport,lyon,1041,40360,a,0,airport,314.0,357.0,0.8795518207282913,0.400986946832219
31,audio/airport-lyon-1101-40386-a.wav,airport,lyon,1101,40386,a,0,airport,249.0,357.0,0.6974789915966386,0.9599649793059535
32,audio/airport-lyon-1041-40393-a.wav,airport,lyon,1041,40393,a,0,airport,274.0,357.0,0.7675070028011205,0.8430436166825852
35,audio/airport-prague-1023-40436-a.wav,airport,prague,1023,40436,a,0,airport,275.0,357.0,0.7703081232492998,0.8359598853868195
37,audio/airport-lisbon-1000-40463-a.wav,airport,lisbon,1000,40463,a,0,airport,266.0,357.0,0.7450980392156863,0.8937440305635148
39,audio/airport-prague-1023-40504-a.wav,airport,prague,1023,40504,a,0,airport,279.0,357.0,0.7815126050420168,0.8032473734479465
40,audio/airport-prague-1023-40527-a.wav,airport,prague,1023,40527,a,0,airport,286.0,357.0,0.8011204481792717,0.7428366762177651
41,audio/airport-lisbon-1000-40528-a.wav,airport,lisbon,1000,40528,a,0,airport,289.0,357.0,0.8095238095238095,0.7130690862782554
42,audio/airport-lyon-1041-40530-a.wav,airport,lyon,1041,40530,a,0,airport,308.0,357.0,0.8627450980392157,0.48233046800382046
43,audio/airport-prague-1023-40542-a.wav,airport,prague,1023,40542,a,0,airport,273.0,357.0,0.7647058823529411,0.8503661254377587
